"'Jun 2022 - present ","'Reviewer, Nature Journal ","'United Kingdom ",
"'July 2022 - present ","'Reviewer, MDPI ","'Switzerland ",
"'Sep 2022 - present ","'Reviewer, Elsevier ","'Netherland ",
"'Sep 2022 - present ","'Editor, Andromeda Publishing and Academic Services ","'London ",
"'Jan 2021 - present ","'Supervisor, DIU NLP and Machine Learning Research Lab ","'Dhaka, Bangladesh ",
"'Jan 2022 - present ","'Organizing Committee Member, ICNLPA 2022 ","'Dhaka, Bangladesh ",
"'Jan 2020 - present ","'Research Scientist, Computational Intelligence Lab ","'Dhaka, Bangladesh ",
